"","Lacz.1","Lacz.2","Lacz.3","Yap.1","Yap.2","Yap.3"
"ENSMUSG00000027340_Slc23a2",7.26863747769203,7.30081402720786,7.17302863056158,7.52345500439356,7.37294009527296,7.19164631493794
"ENSMUSG00000086756_Gm14051",-2.83445723970939,-3.17242906044532,-2.69178019704021,-2.68219855193344,-1.4005306683422,-2.18980463779909
"ENSMUSG00000027341_Tmem230",2.88890140980551,3.07452477843221,3.16039811676156,2.83471029964674,2.93318233858114,2.72824465158629
"ENSMUSG00000027342_Pcna",-0.104581098365383,0.273222258824571,0.452902339366681,0.326121479029812,0.71970277765298,0.531106275827628
"ENSMUSG00000087377_AV099323",1.40708385265056,1.47174920798232,1.11755757350253,0.369042003123069,0.653823506673269,0.731076806668855
"ENSMUSG00000058793_Cds2",5.46647394560614,5.42892496108687,5.45769469340177,6.07037738200281,6.12610636509969,6.03771260069419
"ENSMUSG00000027346_Gpcpd1",9.32520807017143,9.65333101106811,9.55460395250894,8.85144493975435,8.87595099632103,9.06123457547238
"ENSMUSG00000074783_AU019990",2.65201314464779,2.43178065948187,1.98533002013045,1.32360004374118,1.43975199647512,1.01889797182392
"ENSMUSG00000044991_Shld1",6.22586708657228,6.3243252636779,6.36755239859513,6.12043025274398,5.97918138948508,5.85259442129711
"ENSMUSG00000084839_Gm14097",0.242249362410279,0.389712509628469,0.31456263284781,-0.21347717847056,-0.0486027292276036,0.426463726640542
"ENSMUSG00000037376_Trmt6",2.85779924181005,2.8930040461632,2.90476301791463,2.56929914096589,2.47063822470183,2.36397826116399
"ENSMUSG00000027353_Mcm8",0.769055627087321,0.7795921285344,0.92177812773589,0.834814610395433,0.636872667576728,0.720050637119273
"ENSMUSG00000027357_Crls1",4.25290295128804,4.4299164305661,4.29676330734223,4.22441144493974,4.30905014279223,4.35951735326487
"ENSMUSG00000027358_Bmp2",-2.68041884001867,-1.13145663511338,-1.44403253985164,-1.64454164968412,-0.695025713655789,-1.58675125060499
"ENSMUSG00000034723_Tmx4",3.94046928358345,3.77916619220819,3.87754466282577,3.55334261209309,3.47633934631896,3.23950395310836
"ENSMUSG00000051177_Plcb1",2.03751518782241,3.58023928066914,3.07512561359218,3.05661159852126,4.1949779504974,3.30184178352388
"ENSMUSG00000039943_Plcb4",6.04715616866831,5.83140760206102,5.83386252219648,5.52355799339257,5.69639416837574,5.24190035355649
"ENSMUSG00000039913_Pak7",2.10264090160265,-0.318342354661266,1.55864185811719,-0.19252170820903,-0.611637478758361,-0.276152916979555
"ENSMUSG00000074771_Ankef1",-0.287197780072318,2.13738300972486,1.41028893477151,0.672964706886839,2.08965370042281,0.652063063661567
"ENSMUSG00000027274_Mkks",2.80985145693936,2.82841733611377,3.26552833831319,1.27176473815542,1.95936485540223,1.69017160279701
"ENSMUSG00000027281_Slx4ip",7.21472893323357,7.22306418245176,7.33421926778675,7.27131011454867,7.16641813676197,6.99270411234817
"ENSMUSG00000027276_Jag1",3.85484919771218,3.80666880857124,3.92586584907267,4.18091021253774,4.36544786768778,4.3780494105396
"ENSMUSG00000062098_Btbd3",4.71009155129902,4.71757733371486,4.54821148048977,4.66638092767975,4.58680878814056,4.50070261441868
"ENSMUSG00000085071_Gm14066",-2.83445723970939,-2.54039714184597,-2.04464572004539,-2.1108133589202,-1.71179752180585,-1.70066190357666
"ENSMUSG00000074766_Ism1",-1.08330443390446,-0.894972989674043,-0.694667507336549,-1.08536354820356,0.00522385356725621,-0.464566840100412
"ENSMUSG00000039033_Tasp1",6.80820088862704,6.83540421360246,6.72638231758143,6.63594407265029,6.44889880436497,6.31142267465141
"ENSMUSG00000045624_Esf1",4.77229458998052,4.80093967725334,4.84375792832492,4.51536103268673,4.4271371768863,4.42887673499817
"ENSMUSG00000027384_Ndufaf5",4.76141180032675,4.66190550744903,4.66669148407974,4.44772920473117,4.45762349842824,4.29317876429146
"ENSMUSG00000074764_Sel1l2",-2.54125219876909,-1.87026226930541,-2.28746587853362,-1.58871786671378,-1.20449062778414,-1.70066190357666
